id,target
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1751,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1752,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1753,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1754,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
1755,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1756,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1757,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1758,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1759,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1761,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1764,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1767,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1768,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1769,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1770,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
26,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
27,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
28,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1772,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1773,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1774,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1777,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1778,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1779,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1780,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
